order_id,order_date,customer_name,product_id,quantity
2024030001,2024-03-1,User42,4,9
2024030002,2024-03-2,User94,4,8
2024030003,2024-03-26,User61,1,9
2024030004,2024-03-21,User8,4,8
2024030005,2024-03-23,User64,2,6
2024030006,2024-03-18,User54,3,9
2024030007,2024-03-27,User16,2,2
2024030008,2024-03-18,User95,1,7
2024030009,2024-03-17,User74,4,7
2024030010,2024-03-25,User44,4,7
2024030011,2024-03-26,User60,1,10
2024030012,2024-03-25,User11,4,9
2024030013,2024-03-9,User97,1,3
2024030014,2024-03-11,User66,4,6
2024030015,2024-03-16,User90,3,1
2024030016,2024-03-19,User49,2,4
2024030017,2024-03-24,User70,1,8
2024030018,2024-03-6,User35,4,7
2024030019,2024-03-10,User97,3,7
2024030020,2024-03-24,User3,4,5
2024030021,2024-03-15,User78,3,1
2024030022,2024-03-22,User63,1,7
2024030023,2024-03-23,User27,2,3
2024030024,2024-03-26,User59,5,4
2024030025,2024-03-27,User46,5,5
2024030026,2024-03-15,User44,5,6
2024030027,2024-03-15,User7,2,3
2024030028,2024-03-27,User17,4,6
2024030029,2024-03-2,User46,1,5
2024030030,2024-03-20,User55,1,5
2024030031,2024-03-14,User74,2,3
2024030032,2024-03-7,User6,1,2
2024030033,2024-03-20,User55,5,3
2024030034,2024-03-21,User39,5,5
2024030035,2024-03-8,User23,5,5
2024030036,2024-03-23,User58,5,3
2024030037,2024-03-18,User48,3,4
2024030038,2024-03-14,User71,3,7
2024030039,2024-03-16,User66,4,4
2024030040,2024-03-7,User21,3,7
2024030041,2024-03-26,User23,3,9
2024030042,2024-03-4,User26,5,6
2024030043,2024-03-28,User18,3,5
2024030044,2024-03-8,User49,3,7
2024030045,2024-03-1,User33,5,8
2024030046,2024-03-23,User82,4,9
2024030047,2024-03-22,User68,2,2
2024030048,2024-03-22,User70,2,3
2024030049,2024-03-14,User75,5,1
2024030050,2024-03-16,User75,2,1
2024030051,2024-03-27,User56,1,7
2024030052,2024-03-28,User75,3,4
2024030053,2024-03-23,User2,3,3
2024030054,2024-03-9,User13,5,5
2024030055,2024-03-28,User11,5,4
2024030056,2024-03-19,User70,4,8
2024030057,2024-03-26,User94,3,9
2024030058,2024-03-24,User83,3,6
2024030059,2024-03-5,User43,5,4
2024030060,2024-03-4,User23,4,10
2024030061,2024-03-26,User97,3,3
2024030062,2024-03-28,User50,1,8
2024030063,2024-03-14,User22,3,2
2024030064,2024-03-13,User33,1,1
2024030065,2024-03-7,User18,4,8
2024030066,2024-03-9,User83,2,5
2024030067,2024-03-26,User84,4,1
2024030068,2024-03-21,User97,2,8
2024030069,2024-03-11,User74,1,4
2024030070,2024-03-17,User68,4,4
2024030071,2024-03-28,User30,4,5
2024030072,2024-03-25,User72,1,6
2024030073,2024-03-3,User84,3,7
2024030074,2024-03-2,User34,2,5
2024030075,2024-03-28,User76,2,8
2024030076,2024-03-26,User71,5,10
2024030077,2024-03-28,User56,2,9
2024030078,2024-03-15,User36,1,3
2024030079,2024-03-10,User73,4,4
2024030080,2024-03-5,User49,3,1
2024030081,2024-03-24,User5,2,3
2024030082,2024-03-2,User88,3,10
2024030083,2024-03-25,User49,4,3
2024030084,2024-03-9,User76,5,3
2024030085,2024-03-3,User41,2,5
2024030086,2024-03-11,User39,1,10
2024030087,2024-03-3,User41,5,7
2024030088,2024-03-10,User82,3,2
2024030089,2024-03-12,User11,4,3
2024030090,2024-03-1,User30,4,3
2024030091,2024-03-22,User13,5,2
2024030092,2024-03-24,User67,5,6
2024030093,2024-03-26,User43,4,8
2024030094,2024-03-8,User41,5,6
2024030095,2024-03-1,User54,1,3
2024030096,2024-03-1,User72,1,3
2024030097,2024-03-23,User32,1,10
2024030098,2024-03-28,User31,5,9
2024030099,2024-03-4,User94,3,3
2024030100,2024-03-26,User68,3,8
2024030101,2024-03-18,User30,5,1
2024030102,2024-03-23,User47,5,3
2024030103,2024-03-25,User14,1,6
2024030104,2024-03-15,User16,3,2
2024030105,2024-03-17,User75,5,6
2024030106,2024-03-28,User11,5,3
2024030107,2024-03-3,User73,4,9
2024030108,2024-03-13,User43,4,10
2024030109,2024-03-15,User46,3,4
2024030110,2024-03-25,User19,3,10
2024030111,2024-03-25,User29,2,4
2024030112,2024-03-25,User96,5,1
2024030113,2024-03-2,User96,4,3
2024030114,2024-03-15,User34,2,3
2024030115,2024-03-10,User91,1,3
2024030116,2024-03-25,User88,1,3
2024030117,2024-03-19,User84,5,9
2024030118,2024-03-1,User52,1,9
2024030119,2024-03-2,User44,2,9
2024030120,2024-03-5,User59,2,9
2024030121,2024-03-25,User41,1,8
2024030122,2024-03-2,User22,5,6
2024030123,2024-03-14,User48,2,7
2024030124,2024-03-1,User10,1,8
2024030125,2024-03-15,User50,4,6
2024030126,2024-03-12,User9,4,4
2024030127,2024-03-9,User18,1,2
2024030128,2024-03-19,User93,4,8
2024030129,2024-03-9,User75,2,4
2024030130,2024-03-2,User55,1,8
2024030131,2024-03-23,User36,1,5
2024030132,2024-03-4,User76,3,4
2024030133,2024-03-7,User52,1,2
2024030134,2024-03-6,User39,3,5
2024030135,2024-03-2,User35,4,5
2024030136,2024-03-18,User80,1,8
2024030137,2024-03-15,User40,5,4
2024030138,2024-03-9,User54,3,8
2024030139,2024-03-5,User30,2,9
2024030140,2024-03-26,User39,2,7
2024030141,2024-03-27,User66,1,4
2024030142,2024-03-19,User19,5,1
2024030143,2024-03-22,User83,2,2
2024030144,2024-03-11,User57,3,5
2024030145,2024-03-17,User16,4,3
2024030146,2024-03-20,User19,1,8
2024030147,2024-03-4,User1,5,9
2024030148,2024-03-22,User34,1,8
2024030149,2024-03-15,User33,5,2
2024030150,2024-03-27,User84,5,2
2024030151,2024-03-20,User17,1,9
2024030152,2024-03-9,User60,2,6
2024030153,2024-03-16,User29,2,6
2024030154,2024-03-7,User45,4,7
2024030155,2024-03-22,User3,4,3
2024030156,2024-03-4,User51,1,9
2024030157,2024-03-18,User56,2,2
2024030158,2024-03-3,User44,5,10
2024030159,2024-03-3,User58,3,3
2024030160,2024-03-13,User14,3,3
2024030161,2024-03-4,User77,1,9
2024030162,2024-03-6,User68,1,6
2024030163,2024-03-2,User61,5,1
2024030164,2024-03-27,User6,3,6
2024030165,2024-03-11,User50,1,9
2024030166,2024-03-22,User91,2,1
2024030167,2024-03-16,User47,3,9
2024030168,2024-03-2,User79,2,8
2024030169,2024-03-25,User42,2,5
2024030170,2024-03-5,User82,2,9
2024030171,2024-03-15,User60,2,9
2024030172,2024-03-2,User35,3,8
2024030173,2024-03-15,User85,5,8
2024030174,2024-03-5,User66,3,6
2024030175,2024-03-6,User90,1,7
2024030176,2024-03-15,User79,1,6
2024030177,2024-03-11,User35,2,3
2024030178,2024-03-18,User88,3,3
2024030179,2024-03-22,User4,4,3
2024030180,2024-03-27,User48,4,3
2024030181,2024-03-21,User72,1,6
2024030182,2024-03-14,User50,5,8
2024030183,2024-03-17,User77,1,8
2024030184,2024-03-18,User72,2,10
2024030185,2024-03-22,User87,5,10
2024030186,2024-03-16,User79,4,5
2024030187,2024-03-10,User49,2,2
2024030188,2024-03-28,User21,1,6
2024030189,2024-03-13,User80,5,7
2024030190,2024-03-12,User32,5,6
2024030191,2024-03-5,User98,4,5
2024030192,2024-03-6,User69,4,6
2024030193,2024-03-21,User25,1,2
2024030194,2024-03-12,User79,4,9
2024030195,2024-03-10,User88,1,9
2024030196,2024-03-11,User14,3,2
2024030197,2024-03-5,User80,3,8
2024030198,2024-03-23,User44,4,1
2024030199,2024-03-13,User97,5,1
2024030200,2024-03-15,User22,1,3
2024030201,2024-03-3,User21,5,3
2024030202,2024-03-15,User93,5,8
2024030203,2024-03-13,User23,1,4
2024030204,2024-03-13,User24,4,3
2024030205,2024-03-19,User25,3,8
2024030206,2024-03-26,User91,1,6
2024030207,2024-03-25,User31,3,8
2024030208,2024-03-27,User40,1,2
2024030209,2024-03-25,User3,2,4
2024030210,2024-03-12,User100,2,4
2024030211,2024-03-9,User37,4,10
2024030212,2024-03-12,User4,3,3
2024030213,2024-03-20,User87,1,4
2024030214,2024-03-3,User7,1,9
2024030215,2024-03-23,User50,5,1
2024030216,2024-03-9,User9,4,1
2024030217,2024-03-1,User75,2,3
2024030218,2024-03-19,User5,1,3
2024030219,2024-03-19,User70,5,9
2024030220,2024-03-8,User87,3,7
2024030221,2024-03-14,User90,1,3
2024030222,2024-03-25,User58,5,8
2024030223,2024-03-18,User82,3,8
2024030224,2024-03-10,User17,2,9
2024030225,2024-03-10,User97,5,6
2024030226,2024-03-24,User64,4,2
2024030227,2024-03-27,User91,4,6
2024030228,2024-03-21,User15,3,10
2024030229,2024-03-22,User93,4,2
2024030230,2024-03-11,User69,1,1
2024030231,2024-03-15,User86,4,10
2024030232,2024-03-18,User39,2,3
2024030233,2024-03-22,User37,5,1
2024030234,2024-03-24,User36,5,1
2024030235,2024-03-12,User27,1,7
2024030236,2024-03-13,User35,2,10
2024030237,2024-03-22,User72,2,7
2024030238,2024-03-16,User29,2,7
2024030239,2024-03-25,User12,2,2
2024030240,2024-03-22,User39,2,9
2024030241,2024-03-24,User100,4,2
2024030242,2024-03-27,User80,4,7
2024030243,2024-03-6,User9,1,6
2024030244,2024-03-6,User100,5,7
2024030245,2024-03-15,User76,5,8
2024030246,2024-03-25,User12,5,3
2024030247,2024-03-10,User89,2,8
2024030248,2024-03-22,User87,5,4
2024030249,2024-03-12,User17,1,1
2024030250,2024-03-18,User32,5,3
2024030251,2024-03-19,User16,3,1
2024030252,2024-03-3,User49,1,7
2024030253,2024-03-13,User72,3,3
2024030254,2024-03-3,User99,2,1
2024030255,2024-03-9,User2,4,8
2024030256,2024-03-22,User18,1,1
2024030257,2024-03-17,User89,4,3
2024030258,2024-03-12,User68,2,9
2024030259,2024-03-25,User1,2,4
2024030260,2024-03-7,User42,5,9
2024030261,2024-03-8,User78,2,10
2024030262,2024-03-2,User92,1,4
2024030263,2024-03-13,User78,1,2
2024030264,2024-03-26,User10,5,6
2024030265,2024-03-8,User35,4,2
2024030266,2024-03-27,User74,4,9
2024030267,2024-03-11,User25,2,10
2024030268,2024-03-2,User76,2,9
2024030269,2024-03-20,User95,1,9
2024030270,2024-03-3,User39,5,3
2024030271,2024-03-23,User65,2,2
2024030272,2024-03-7,User58,1,6
2024030273,2024-03-22,User88,1,3
2024030274,2024-03-9,User87,5,1
2024030275,2024-03-10,User57,1,6
2024030276,2024-03-23,User4,2,4
2024030277,2024-03-2,User16,1,2
2024030278,2024-03-15,User47,4,6
2024030279,2024-03-2,User38,2,2
2024030280,2024-03-12,User92,2,7
2024030281,2024-03-7,User23,2,7
2024030282,2024-03-20,User61,2,9
2024030283,2024-03-10,User58,4,6
2024030284,2024-03-13,User79,5,2
2024030285,2024-03-9,User10,1,4
2024030286,2024-03-7,User27,3,8
2024030287,2024-03-21,User27,3,5
2024030288,2024-03-25,User52,4,4
2024030289,2024-03-15,User84,4,2
2024030290,2024-03-4,User27,1,5
2024030291,2024-03-4,User20,2,2
2024030292,2024-03-27,User21,3,9
2024030293,2024-03-5,User96,2,5
2024030294,2024-03-24,User79,4,4
2024030295,2024-03-18,User95,5,10
2024030296,2024-03-21,User80,5,2
2024030297,2024-03-28,User76,4,2
2024030298,2024-03-18,User26,5,10
2024030299,2024-03-25,User88,1,7
2024030300,2024-03-21,User84,3,10
2024030301,2024-03-21,User71,2,10
2024030302,2024-03-14,User8,5,1
2024030303,2024-03-24,User86,4,5
2024030304,2024-03-5,User68,2,7
2024030305,2024-03-13,User25,2,1
2024030306,2024-03-20,User26,3,7
2024030307,2024-03-9,User43,4,8
2024030308,2024-03-20,User40,2,10
2024030309,2024-03-21,User66,2,5
2024030310,2024-03-22,User81,3,5
2024030311,2024-03-25,User49,3,4
2024030312,2024-03-21,User90,3,7
2024030313,2024-03-20,User65,5,3
2024030314,2024-03-5,User96,3,2
2024030315,2024-03-16,User43,3,6
2024030316,2024-03-3,User87,1,4
2024030317,2024-03-8,User50,1,8
2024030318,2024-03-7,User30,3,10
2024030319,2024-03-8,User13,2,2
2024030320,2024-03-20,User7,4,9
2024030321,2024-03-16,User78,5,3
2024030322,2024-03-11,User47,1,4
2024030323,2024-03-3,User87,1,9
2024030324,2024-03-19,User97,1,3
2024030325,2024-03-5,User43,2,2
2024030326,2024-03-8,User28,2,7
2024030327,2024-03-8,User80,3,2
2024030328,2024-03-6,User39,2,9
2024030329,2024-03-2,User92,4,2
2024030330,2024-03-10,User100,5,1
2024030331,2024-03-14,User29,5,1
2024030332,2024-03-14,User91,4,7
2024030333,2024-03-10,User82,5,2
2024030334,2024-03-21,User56,3,10
2024030335,2024-03-20,User8,1,2
2024030336,2024-03-21,User16,1,5
2024030337,2024-03-24,User94,1,4
2024030338,2024-03-25,User44,4,3
2024030339,2024-03-7,User40,5,4
2024030340,2024-03-20,User99,4,1
2024030341,2024-03-3,User43,4,6
2024030342,2024-03-26,User77,4,1
2024030343,2024-03-6,User98,3,10
2024030344,2024-03-4,User20,4,6
2024030345,2024-03-18,User65,2,2
2024030346,2024-03-17,User45,1,2
2024030347,2024-03-18,User19,1,10
2024030348,2024-03-5,User77,4,4
2024030349,2024-03-28,User23,5,6
2024030350,2024-03-18,User34,1,9
2024030351,2024-03-6,User84,1,1
2024030352,2024-03-8,User28,1,1
2024030353,2024-03-24,User62,1,7
2024030354,2024-03-3,User82,1,1
2024030355,2024-03-19,User27,4,7
2024030356,2024-03-27,User18,1,1
2024030357,2024-03-12,User2,3,9
2024030358,2024-03-21,User43,3,10
2024030359,2024-03-22,User1,2,8
2024030360,2024-03-19,User9,2,9
2024030361,2024-03-19,User55,4,5
2024030362,2024-03-20,User62,2,5
2024030363,2024-03-9,User71,2,1
2024030364,2024-03-20,User39,3,3
2024030365,2024-03-4,User30,3,1
2024030366,2024-03-21,User18,2,4
2024030367,2024-03-12,User2,1,2
2024030368,2024-03-22,User77,3,7
2024030369,2024-03-10,User43,4,9
2024030370,2024-03-21,User74,5,1
2024030371,2024-03-19,User25,1,8
2024030372,2024-03-6,User77,4,4
2024030373,2024-03-5,User54,1,9
2024030374,2024-03-25,User46,2,5
2024030375,2024-03-25,User72,1,4
2024030376,2024-03-18,User77,3,5
2024030377,2024-03-21,User64,2,2
2024030378,2024-03-15,User3,5,5
2024030379,2024-03-19,User29,2,4
2024030380,2024-03-28,User2,5,10
2024030381,2024-03-7,User96,4,2
2024030382,2024-03-24,User9,3,7
2024030383,2024-03-3,User9,5,10
2024030384,2024-03-10,User81,4,2
2024030385,2024-03-13,User62,2,3
2024030386,2024-03-5,User99,1,5
2024030387,2024-03-11,User42,4,8
2024030388,2024-03-14,User90,1,1
2024030389,2024-03-2,User31,3,3
2024030390,2024-03-18,User6,5,3
2024030391,2024-03-27,User66,1,8
2024030392,2024-03-12,User72,5,10
2024030393,2024-03-12,User15,3,2
2024030394,2024-03-9,User27,2,6
2024030395,2024-03-12,User46,1,9
2024030396,2024-03-15,User29,2,2
2024030397,2024-03-3,User69,2,6
2024030398,2024-03-17,User84,3,2
2024030399,2024-03-3,User40,3,7
2024030400,2024-03-9,User15,4,9
2024030401,2024-03-10,User94,3,6
2024030402,2024-03-4,User93,2,8
2024030403,2024-03-15,User7,5,10
2024030404,2024-03-20,User12,3,4
2024030405,2024-03-14,User21,1,6
2024030406,2024-03-19,User96,4,9
2024030407,2024-03-15,User7,5,1
2024030408,2024-03-28,User21,1,6
2024030409,2024-03-19,User51,1,4
2024030410,2024-03-16,User62,4,8
2024030411,2024-03-26,User23,1,7
2024030412,2024-03-7,User80,5,9
2024030413,2024-03-20,User91,4,7
2024030414,2024-03-2,User61,5,2
2024030415,2024-03-10,User11,4,8
2024030416,2024-03-4,User25,4,6
2024030417,2024-03-4,User4,4,8
2024030418,2024-03-23,User85,4,5
2024030419,2024-03-26,User47,4,9
2024030420,2024-03-2,User66,4,7
2024030421,2024-03-19,User20,1,2
2024030422,2024-03-18,User58,2,7
2024030423,2024-03-15,User24,4,4
2024030424,2024-03-9,User32,3,1
2024030425,2024-03-12,User83,4,8
2024030426,2024-03-1,User66,1,4
